stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
781729,,2,Newport,,40.72699,-74.03383,,,0,26732,
26726,,,Christopher Street,,40.73295,-74.00707,,,1,,
781734,,1,9th Street,,40.73424,-73.9991,,,0,26725,
781732,,1,Christopher Street,,40.73295,-74.00707,,,0,26726,
781717,,3,Hoboken,,40.73586,-74.02922,,,0,26730,
26730,,,Hoboken,,40.73586,-74.02922,,,1,,
781763,,1,World Trade Center,,40.71271,-74.01193,,,0,26734,
781721,,2,Harrison,,40.73942,-74.15587,,,0,26729,
782509,,,33rd Street,,40.7485,-73.9884,,,2,26724,
782500,,,Hoboken,,40.7352,-74.0276,,,2,26730,
782497,,,Grove Street,,40.7195,-74.0425,,,2,26728,
781727,,2,Grove Street,,40.71966,-74.04245,,,0,26728,
26733,,,Newark,,40.73454,-74.16375,,,1,,
781716,,2,Hoboken,,40.73586,-74.02922,,,0,26730,
782511,,,33rd Street,,40.7495,-73.9885,,,2,26724,
781728,,1,Newport,,40.72699,-74.03383,,,0,26732,
26728,,,Grove Street,,40.71966,-74.04245,,,1,,
781718,,B,Newark,,40.73454,-74.16375,,,0,26733,
794724,,2/3,World Trade Center,,40.71271,-74.01193,,,0,26734,
782492,,,Harrison,,40.739,-74.1558,,,2,26729,
781719,,H,Newark,,40.73454,-74.16375,,,0,26733,
781724,,3,Journal Square,,40.73301,-74.06289,,,0,26731,
781730,,1,Exchange Place,,40.71676,-74.03238,,,0,26727,
781722,,1,Journal Square,,40.73301,-74.06289,,,0,26731,
781739,,2,23rd Street,,40.7429,-73.99278,,,0,26723,
26725,,,9th Street,,40.73424,-73.9991,,,1,,
782494,,,Journal Square,,40.7322,-74.0629,,,2,26731,
781741,,2,33rd Street,,40.74912,-73.98827,,,0,26724,
782512,,,World Trade Center,,40.7118,-74.0112,,,2,26734,
26734,,,World Trade Center,,40.71271,-74.01193,,,1,,
781764,,2,World Trade Center,,40.71271,-74.01193,,,0,26734,
782495,,,Journal Square,,40.7317,-74.0613,,,2,26731,
782498,,,Newport,,40.727,-74.0338,,,2,26732,
782504,,,9th Street,,40.7341,-73.9987,,,2,26725,
781715,,1,Hoboken,,40.73586,-74.02922,,,0,26730,
782506,,,14th Street,,40.7373,-73.9972,,,2,26722,
782493,,,Harrison,,40.7395,-74.1559,,,2,26729,
782490,,,Newark,,40.7344,-74.1635,,,2,26733,
782510,,,33rd Street,,40.7484,-73.9876,,,2,26724,
781735,,2,9th Street,,40.73424,-73.9991,,,0,26725,
781740,,1,33rd Street,,40.74912,-73.98827,,,0,26724,
26722,,,14th Street,,40.73735,-73.99684,,,1,,
782508,,,33rd Street,,40.7487,-73.9886,,,2,26724,
781725,,4,Journal Square,,40.73301,-74.06289,,,0,26731,
781726,,1,Grove Street,,40.71966,-74.04245,,,0,26728,
782507,,,23rd Street,,40.7428,-73.9927,,,2,26723,
26727,,,Exchange Place,,40.71676,-74.03238,,,1,,
782505,,,14th Street,,40.7377,-73.997,,,2,26722,
782496,,,Grove Street,,40.7191,-74.0412,,,2,26728,
782502,,,World Trade Center,,40.712822,-74.011766,,,2,26734,
782503,,,Christopher Street,,40.733,-74.0071,,,2,26726,
781723,,2,Journal Square,,40.73301,-74.06289,,,0,26731,
26729,,,Harrison,,40.73942,-74.15587,,,1,,
782499,,,Hoboken,,40.7356,-74.0288,,,2,26730,
781731,,2,Exchange Place,,40.71676,-74.03238,,,0,26727,
781736,,1,14th Street,,40.73735,-73.99684,,,0,26722,
781733,,2,Christopher Street,,40.73295,-74.00707,,,0,26726,
26724,,,33rd Street,,40.74912,-73.98827,,,1,,
26732,,,Newport,,40.72699,-74.03383,,,1,,
781765,,3,World Trade Center,,40.71271,-74.01193,,,0,26734,
781737,,2,14th Street,,40.73735,-73.99684,,,0,26722,
782491,,,Newark,,40.7343,-74.1649,,,2,26733,
781766,,4/5,World Trade Center,,40.71271,-74.01193,,,0,26734,
26731,,,Journal Square,,40.73301,-74.06289,,,1,,
781720,,1,Harrison,,40.73942,-74.15587,,,0,26729,
782501,,,Exchange Place,,40.7165,-74.0334,,,2,26727,
781738,,1,23rd Street,,40.7429,-73.99278,,,0,26723,
26723,,,23rd Street,,40.7429,-73.99278,,,1,,
